num_verifiers,trial,total_time,avg_verifier_time,blockchain_time,consensus_status,final_score
1,1,1.2920465469360352,1.281235933303833,0.0,approved,72.87424989500434
1,2,1.272691011428833,1.2567939758300781,0.0,approved,71.30970869923695
1,3,1.3156177997589111,1.2662789821624756,0.032370567321777344,approved,71.97796628754472
3,1,3.7233312129974365,1.2360785007476807,0.0075342655181884766,approved,71.81782550394286
3,2,3.736121416091919,1.239045222600301,0.013340950012207031,approved,71.81798933105824
3,3,4.005916357040405,1.3273847103118896,0.011349201202392578,approved,72.86927871891524
5,1,6.077237367630005,1.211846685409546,0.010967016220092773,approved,72.90421930788025
5,2,6.038012981414795,1.206598663330078,0.0,approved,72.92934111911698
5,3,6.34931755065918,1.2597615242004394,0.034646034240722656,approved,71.70887061992815
7,1,8.569742918014526,1.2207672595977783,0.016083717346191406,approved,73.14339968711816
7,2,8.59441614151001,1.2210005010877336,0.031598567962646484,approved,72.98307744228185
7,3,8.577444076538086,1.2253491537911552,0.0,approved,73.438929609166
